Date,price
1/3/2014,80.790001
1/6/2014,80.650002
1/7/2014,80.830002
1/8/2014,81.040001
1/9/2014,81.010002
1/10/2014,80.660004
1/13/2014,80.510002
1/14/2014,80.610001
1/15/2014,81
1/16/2014,80.900002
1/17/2014,81.260002
1/21/2014,81.099998
1/22/2014,81.169998
1/23/2014,80.440002
1/24/2014,80.459999
1/27/2014,80.5
1/28/2014,80.57
1/29/2014,80.510002
1/30/2014,81.089996
1/31/2014,81.269997
2/3/2014,81.010002
2/4/2014,81.120003
2/5/2014,81.029999
2/6/2014,80.889999
2/7/2014,80.690002
2/10/2014,80.669998
2/11/2014,80.629997
2/12/2014,80.68
2/13/2014,80.290001
2/14/2014,80.129997
2/18/2014,80.010002
2/19/2014,80.169998
2/20/2014,80.290001
2/21/2014,80.239998
2/24/2014,80.209999
2/25/2014,80.150002
2/26/2014,80.410004
2/27/2014,80.290001
2/28/2014,79.779999
3/3/2014,80.07
3/4/2014,80.160004
3/5/2014,80.110001
3/6/2014,79.68
3/7/2014,79.720001
3/10/2014,79.75
3/11/2014,79.769997
3/12/2014,79.610001
3/13/2014,79.620003
3/14/2014,79.440002
3/17/2014,79.389999
3/18/2014,79.410004
3/19/2014,79.989998
3/20/2014,80.209999
3/21/2014,80.110001
3/24/2014,79.93
3/25/2014,79.940002
3/26/2014,79.980003
3/27/2014,80.110001
3/28/2014,80.18
3/31/2014,80.099998
4/1/2014,80.080002
4/2/2014,80.220001
4/3/2014,80.470001
4/4/2014,80.419998
4/7/2014,80.220001
4/8/2014,79.75
4/9/2014,79.480003
4/10/2014,79.379997
4/11/2014,79.449997
4/14/2014,79.730003
4/15/2014,79.800003
4/16/2014,79.82
4/17/2014,79.830002
4/21/2014,79.949997
4/22/2014,79.910004
4/23/2014,79.860001
4/24/2014,79.800003
4/25/2014,79.769997
4/28/2014,79.68
4/29/2014,79.809998
4/30/2014,79.489998
5/1/2014,79.529999
5/2/2014,79.519997
5/5/2014,79.489998
5/6/2014,79.139999
5/7/2014,79.220001
5/8/2014,79.43
5/9/2014,79.900002
5/12/2014,79.900002
5/13/2014,80.139999
5/14/2014,80.07
5/15/2014,80
5/16/2014,80.040001
5/19/2014,79.989998
5/20/2014,80.040001
5/21/2014,80.099998
5/22/2014,80.25
5/23/2014,80.389999
5/27/2014,80.349998
5/28/2014,80.57
5/29/2014,80.489998
5/30/2014,80.370003
6/2/2014,80.639999
6/3/2014,80.550003
6/4/2014,80.669998
6/5/2014,80.370003
6/6/2014,80.410004
6/9/2014,80.650002
6/10/2014,80.82
6/11/2014,80.790001
6/12/2014,80.580002
6/13/2014,80.580002
6/16/2014,80.470001
6/17/2014,80.629997
6/18/2014,80.580002
6/19/2014,80.32
6/20/2014,80.370003
6/23/2014,80.260002
6/24/2014,80.330002
6/25/2014,80.220001
6/26/2014,80.230003
6/27/2014,80.040001
6/30/2014,79.779999
7/1/2014,79.82
7/2/2014,79.959999
7/3/2014,80.209999
7/7/2014,80.220001
7/8/2014,80.18
7/9/2014,79.989998
7/10/2014,80.129997
7/11/2014,80.190002
7/14/2014,80.190002
7/15/2014,80.389999
7/16/2014,80.559998
7/17/2014,80.519997
7/18/2014,80.519997
7/21/2014,80.559998
7/22/2014,80.779999
7/23/2014,80.809998
7/24/2014,80.870003
7/25/2014,81.029999
7/28/2014,81.029999
7/29/2014,81.209999
7/30/2014,81.419998
7/31/2014,81.459999
8/1/2014,81.300003
8/4/2014,81.330002
8/5/2014,81.519997
8/6/2014,81.440002
8/7/2014,81.519997
8/8/2014,81.389999
8/11/2014,81.470001
8/12/2014,81.5
8/13/2014,81.599998
8/14/2014,81.589996
8/15/2014,81.419998
8/18/2014,81.580002
8/19/2014,81.879997
8/20/2014,82.25
8/21/2014,82.150002
8/22/2014,82.339996
8/25/2014,82.550003
8/26/2014,82.650002
8/27/2014,82.43
8/28/2014,82.480003
8/29/2014,82.75
9/2/2014,82.989998
9/3/2014,82.870003
9/4/2014,83.82
9/5/2014,83.760002
9/8/2014,84.230003
9/9/2014,84.279999
9/10/2014,84.25
9/11/2014,84.300003
9/12/2014,84.239998
9/15/2014,84.260002
9/16/2014,84.07
9/17/2014,84.699997
9/18/2014,84.32
9/19/2014,84.800003
9/22/2014,84.669998
9/23/2014,84.660004
9/24/2014,85.050003
9/25/2014,85.199997
9/26/2014,85.639999
9/29/2014,85.589996
9/30/2014,85.940002
10/1/2014,85.970001
10/2/2014,85.599998
10/3/2014,86.690002
10/6/2014,85.709999
10/7/2014,85.669998
10/8/2014,85.300003
10/9/2014,85.519997
10/10/2014,85.910004
10/13/2014,85.43
10/14/2014,85.82
10/15/2014,85.150002
10/16/2014,85
10/17/2014,85.190002
10/20/2014,84.949997
10/21/2014,85.309998
10/22/2014,85.739998
10/23/2014,85.839996
10/24/2014,85.730003
10/27/2014,85.5
10/28/2014,85.410004
10/29/2014,85.949997
10/30/2014,86.150002
10/31/2014,86.879997
11/3/2014,87.309998
11/4/2014,86.980003
11/5/2014,87.440002
11/6/2014,88.010002
11/7/2014,87.639999
11/10/2014,87.809998
11/11/2014,87.529999
11/12/2014,87.82
11/13/2014,87.669998
11/14/2014,87.529999
11/17/2014,87.93
11/18/2014,87.580002
11/19/2014,87.650002
11/20/2014,87.589996
11/21/2014,88.309998
11/24/2014,88.150002
11/25/2014,87.919998
11/26/2014,87.610001
11/28/2014,88.360001
12/1/2014,87.949997
12/2/2014,88.650002
12/3/2014,88.959999
12/4/2014,88.699997
12/5/2014,89.330002
12/8/2014,89.040001
12/9/2014,88.690002
12/10/2014,88.269997
12/11/2014,88.660004
12/12/2014,88.360001
12/15/2014,88.459999
12/16/2014,88.129997
12/17/2014,89.129997
12/18/2014,89.239998
12/19/2014,89.599998
12/22/2014,89.769997
12/23/2014,90.059998
12/24/2014,89.970001
12/26/2014,90.029999
12/29/2014,90.190002
12/30/2014,89.989998
12/31/2014,90.269997
1/2/2015,91.080002
1/5/2015,91.379997
1/6/2015,91.5
1/7/2015,91.889999
1/8/2015,92.370003
1/9/2015,91.940002
1/12/2015,91.980003
1/13/2015,92.309998
1/14/2015,92.160004
1/15/2015,92.349998
1/16/2015,92.519997
1/20/2015,93.050003
1/21/2015,92.900002
1/22/2015,94.239998
1/23/2015,95
1/26/2015,94.800003
1/27/2015,94.019997
1/28/2015,94.470001
1/29/2015,94.779999
1/30/2015,94.800003
2/2/2015,94.5
2/3/2015,93.599998
2/4/2015,93.989998
2/5/2015,94.699997
2/6/2015,94.699997
2/9/2015,94.449997
2/10/2015,94.760002
2/11/2015,94.989998
2/12/2015,94.089996
2/13/2015,94.199997
2/17/2015,94.059998
2/18/2015,94.199997
2/19/2015,94.400002
2/20/2015,94.25
2/23/2015,94.57
2/24/2015,94.489998
2/25/2015,94.209999
2/26/2015,95.290001
2/27/2015,95.25
3/2/2015,95.459999
3/3/2015,95.379997
3/4/2015,95.970001
3/5/2015,96.379997
3/6/2015,97.620003
3/9/2015,97.589996
3/10/2015,98.620003
3/11/2015,99.800003
3/12/2015,99.150002
3/13/2015,100.330002
3/16/2015,99.599998
3/17/2015,99.589996
3/18/2015,98.550003
3/19/2015,99.099998
3/20/2015,97.910004
3/23/2015,97.029999
3/24/2015,97.190002
3/25/2015,96.980003
3/26/2015,97.440002
3/27/2015,97.290001
3/30/2015,97.980003
3/31/2015,98.360001
4/1/2015,98.190002
4/2/2015,97.440002
4/6/2015,97.110001
4/7/2015,97.830002
4/8/2015,98.07
4/9/2015,99.160004
4/10/2015,99.389999
4/13/2015,99.489998
4/14/2015,98.760002
4/15/2015,98.330002
4/16/2015,97.419998
4/17/2015,97.519997
4/20/2015,97.940002
4/21/2015,97.980003
4/22/2015,98.019997
4/23/2015,97.279999
4/24/2015,96.919998
4/27/2015,96.769997
4/28/2015,96.089996
4/29/2015,95.120003
4/30/2015,94.599998
5/1/2015,95.300003
5/4/2015,95.480003
5/5/2015,95.129997
5/6/2015,94.129997
5/7/2015,94.620003
5/8/2015,94.790001
5/11/2015,95.010002
5/12/2015,94.529999
5/13/2015,93.620003
5/14/2015,93.360001
5/15/2015,93.139999
5/18/2015,94.190002
5/19/2015,95.269997
5/20/2015,95.449997
5/21/2015,95.260002
5/22/2015,96.010002
5/26/2015,97.300003
5/27/2015,97.370003
5/28/2015,96.970001
5/29/2015,96.910004
6/1/2015,97.389999
6/2/2015,95.839996
6/3/2015,95.470001
6/4/2015,95.459999
6/5/2015,96.309998
6/8/2015,95.300003
6/9/2015,95.169998
6/10/2015,94.650002
6/11/2015,94.980003
6/12/2015,94.970001
6/15/2015,94.809998
6/16/2015,95
6/17/2015,94.300003
6/18/2015,94.040001
6/19/2015,94.089996
6/22/2015,94.330002
6/23/2015,95.43
6/24/2015,95.260002
6/25/2015,95.190002
6/26/2015,95.470001
6/29/2015,94.790001
6/30/2015,95.489998
7/1/2015,96.309998
7/2/2015,96.110001
7/6/2015,96.300003
7/7/2015,96.870003
7/8/2015,96.290001
7/9/2015,96.610001
7/10/2015,96.029999
7/13/2015,96.860001
